Nombre;Compila;Puntocoma;PrimiMisspell;FaltaReturn;OutIncorrecto;VariableNoDeclarada;VariableNoIni;Llaves;ImportMal;ConstructorClaseIgual;VariableNoUsada;TokensExtra;Parentesis;RecursionInf ;FuncionNoDef;MalLlamadaFuncion;InputVacio;IndexOutOfBounds;VariableUsandoPrimi;TipoErroneo;LecturaInput;Accuracy;Difficulty;Cost;WellFormed;Validity;Experimentability;Quality
mtpg1a-01%13_48_17;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;1;1;1;0;0
mtpg1a-02%13_45_36;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0
mtpg1a-02%13_47_29;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0
mtpg1b-01%13_02_05;0;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;1;1;0;1
mtpg1b-01%13_03_25;1;1;1;1;0;0;1;1;1;1;1;1;1;1;1;1;0;1;0;1;1;0;0;1;1;1;0;0
mtpg1b-01%13_05_49;1;1;1;1;1;0;0;0;0;0;0;1;0;1;0;0;0;0;0;1;1;0;0;1;1;1;0;0
mtpg1b-01%13_16_29;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;1;1;0;1
mtpg1b-02%13_17_56;1;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;1;1;0;1
mtpg1b-02%13_19_52;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0
mtpg1b-03%13_20_09;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0
mtpg1b-03%13_25_05;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0
mtpg1b-04%13_15_41;1;1;0;0;0;0;0;0;1;0;0;1;1;0;0;0;0;0;0;0;1;0;0;1;1;1;0;0
mtpg1b-04%13_26_50;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;1;1;0;0
mtpg1c-01%13_57_24;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;1;1;0;0
mtpg1c-01%14_06_40;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0
mtpg1c-02%14_19_04;1;1;1;1;1;1;1;0;0;0;0;0;0;1;0;1;0;0;0;1;1;0;0;1;0;0;0;0
mtpg1c-02%14_23_35;1;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
mtpg1c-03%14_02_44;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
mtpg1c-03%14_19_48;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0
mtpg1c-04%14_07_37;1;1;1;0;0;0;1;1;0;0;1;1;1;0;0;0;0;0;1;0;1;1;0;1;1;1;0;1
mtpg1c-04%14_25_58;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;1;1;0;1
mtpg2a-01%12_10_02;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;1;1;0;1
mtpg2a-03%11_46_36;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
mtpg2a-03%12_13_46;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;1;1;0;1
mtpg2a-04%11_29_26;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;1;1;0;1
mtpg2a-04%12_09_34;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;1;1;0;1
mtpg2a-05%11_50_43;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;1;1;0;1
mtpg2b-01%11_32_29;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;1;1;0;1
mtpg2b-01%11_52_30;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;1;1;0;1
mtpg2b-01%11_57_58;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;1;1;0;1
mtpg2b-02%12_04_57;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;1;1;0;1
mtpg2b-04%11_52_03;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;1;1;0;1
mtpg2b-04%11_53_53;1;0;1;1;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;1;1;0;1;1;1;0;1
mtpg2b-05%12_03_38;1;1;0;0;0;0;0;1;0;0;1;1;1;0;0;0;0;0;0;0;0;1;0;1;1;1;1;1
mtpg2b-06%11_55_09;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;1;1;1;1;1
mtpg2c-01%12_25_03;0;1;1;0;0;1;0;0;0;0;1;0;0;1;0;0;0;1;0;0;1;1;0;1;1;1;1;1
mtpg2c-01%12_31_09;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;0;0
mtpg2c-02%13_00_28;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;1;1;0;1
mtpg2c-04%11_56_54;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;1;1;0;1
mtpg2c-04%12_21_24;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
mtpg2c-05%12_40_37;0;1;1;1;1;1;1;1;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;1;1;1;0;1
mtpg2c-05%12_49_53;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;1;1;0;1
mtpg2c-05%12_55_13;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;1;1;0;1
